Nombre de pieces;Nombre de chambres;Ascenseur;Cave;Gardien;prix;superficie;arrondissement
3.0;2;1;1;0;540000.0;57.0;0.014442
4.0;4;0;1;0;329000.0;37.0;0.012957
2.0;1;0;1;0;329000.0;37.0;-0.011981
1.0;1;1;1;0;225000.0;23.0;0.052894
4.0;2;0;1;0;960000.0;82.0;0.023671
3.0;2;1;1;1;835000.0;77.0;0.196009
3.0;2;1;1;1;557000.0;64.0;0.052894
4.0;3;1;0;0;670000.0;79.0;-0.001544
4.0;2;0;0;0;890000.0;85.0;-0.011981
2.0;1;0;0;0;470000.0;46.0;0.014442
3.0;2;1;0;1;615000.0;61.0;0.052894
7.0;4;1;1;0;4490000.0;318.0;0.196009
2.0;1;0;1;0;414000.0;34.4;0.016535
3.0;2;1;1;0;719000.0;65.0;0.023671
1.0;1;0;0;0;223500.0;23.0;0.052894
2.0;1;0;1;0;345000.0;28.0;0.023671
6.0;4;0;1;0;2075000.0;153.0;0.023671
2.0;1;1;1;0;840000.0;50.0;0.081818
3.0;2;1;1;0;489000.0;57.0;-0.001544
2.0;1;1;0;1;374000.0;34.0;0.019963
1.0;1;0;0;0;280000.0;18.1;0.030025
3.0;2;0;1;0;840000.0;77.0;0.030025
3.0;2;0;1;0;1200000.0;100.0;0.030025
4.0;3;1;1;0;700000.0;76.0;0.196009
3.0;2;1;1;0;730000.0;64.7;0.012957
2.0;1;1;0;0;599000.0;61.0;-0.00142
2.0;1;1;1;0;630000.0;58.4;-0.001544
1.0;1;1;0;1;394000.0;30.1;0.196009
1.0;1;0;0;0;145000.0;13.6;0.012957
2.0;1;0;1;1;540000.0;52.0;0.196009
3.0;2;1;1;0;950000.0;93.0;0.052894
5.0;3;1;1;0;690000.0;108.0;-0.009978
1.0;1;0;0;0;294900.0;31.0;0.053731
4.0;3;1;1;0;1350000.0;127.0;0.012957
3.0;1;1;1;1;560000.0;53.0;0.020369
2.0;1;0;0;0;590000.0;49.0;-0.001544
2.0;1;0;0;1;485000.0;54.0;0.014442
2.0;1;0;0;1;490000.0;37.0;0.019963
3.0;2;1;0;0;637500.0;56.0;0.012957
1.0;1;0;0;0;240000.0;17.0;0.11758
5.0;3;0;1;0;770000.0;113.0;-0.009978
10.0;7;0;1;0;2690000.0;247.0;0.196009
3.0;1;0;0;1;800000.0;81.0;0.023671
5.0;4;0;1;0;1118000.0;111.0;0.052894
2.0;1;1;0;0;560000.0;52.0;0.053731
1.0;1;0;0;0;283000.0;28.0;0.020369
1.0;1;0;0;0;154000.0;16.0;0.052894
1.0;1;0;0;0;278000.0;26.0;-0.001544
4.0;4;0;0;0;1148000.0;144.0;-0.011981
2.0;1;0;1;0;299000.0;27.0;0.196009
1.0;1;0;0;0;299500.0;23.0;0.020369
3.0;2;0;0;0;470000.0;65.0;-0.001544
1.0;1;1;1;0;315000.0;28.0;0.020369
2.0;1;0;0;0;560000.0;58.0;0.012957
3.0;1;0;1;0;529000.0;60.0;0.020369
5.0;3;0;0;0;1250000.0;110.0;0.196009
1.0;1;0;0;0;299500.0;21.0;0.081818
1.0;1;0;0;0;161570.0;19.0;0.012957
2.0;1;0;0;0;325000.0;38.0;0.053731
3.0;1;0;1;0;720000.0;53.0;0.11758
2.0;1;0;0;0;250000.0;30.0;-0.011981
1.0;1;0;0;0;125000.0;14.0;-0.001544
3.0;2;0;1;1;879000.0;66.1;0.053731
2.0;1;0;1;0;568000.0;42.1;0.11758
2.0;1;0;1;0;495000.0;35.4;0.030506
2.0;1;1;0;0;567000.0;42.3;0.181532
2.0;1;1;0;1;475000.0;37.9;0.196009
4.0;3;1;1;1;860000.0;90.0;0.052894
2.0;1;1;1;0;400000.0;33.0;0.019963
2.0;1;0;1;0;369000.0;32.3;0.052894
3.0;2;0;1;0;615000.0;61.1;0.196009
3.0;2;1;1;0;1030000.0;70.1;0.11758
2.0;1;0;1;0;730000.0;51.7;-0.011981
2.0;1;1;1;1;506000.0;47.3;0.052894
4.0;2;1;1;0;735000.0;65.9;0.052894
3.0;2;1;1;0;798000.0;72.0;0.052894
3.0;2;1;0;1;799000.0;90.0;0.052894
3.0;2;1;1;0;650000.0;49.4;0.053731
3.0;2;0;1;0;779000.0;61.3;-0.011981
2.0;1;0;0;0;660000.0;55.0;0.030506
4.0;2;1;0;0;1200000.0;74.1;0.05245
6.0;4;1;1;0;2000000.0;185.4;0.053731
4.0;2;1;1;0;800000.0;69.9;0.023671
2.0;1;0;0;0;430000.0;38.5;0.048162
4.0;2;1;1;0;700000.0;63.8;0.012957
3.0;2;0;1;1;520000.0;52.5;0.052894
2.0;1;1;1;1;400000.0;43.3;0.052894
3.0;2;1;1;0;525000.0;64.6;0.052894
3.0;2;0;1;0;490000.0;50.3;0.052894
2.0;1;1;1;1;558000.0;48.0;0.052894
2.0;1;0;1;0;425000.0;49.7;0.196009
1.0;1;1;1;1;286000.0;29.7;0.196009
3.0;1;1;0;0;850000.0;74.4;0.196009
2.0;1;1;1;0;669000.0;72.8;0.196009
3.0;2;0;1;1;820000.0;74.0;0.196009
2.0;1;1;1;1;800000.0;60.7;0.196009
2.0;1;1;0;1;422000.0;41.6;0.196009
3.0;1;1;1;1;587000.0;64.5;0.052894
3.0;2;0;1;0;653000.0;48.0;0.053731
3.0;1;1;1;0;690000.0;75.0;0.014442
3.0;2;0;0;0;600000.0;53.0;0.023671
2.0;1;1;1;1;620000.0;46.0;0.181532
3.0;1;1;1;1;750000.0;74.0;0.196009
3.0;2;1;1;1;860000.0;77.6;0.196009
2.0;1;1;1;0;663000.0;50.1;0.019963
2.0;1;1;0;0;450000.0;30.5;0.196009
1.0;1;1;0;0;373000.0;32.5;0.014442
4.0;2;0;0;0;900000.0;69.3;0.030506
2.0;1;0;1;1;378000.0;31.0;0.019963
3.0;2;0;0;0;790000.0;47.9;0.05245
3.0;1;1;1;0;760000.0;69.0;0.019963
1.0;1;1;1;0;440000.0;31.6;0.030506
2.0;1;0;1;1;466000.0;37.7;0.019963
3.0;2;0;1;1;597000.0;50.3;0.019963
3.0;2;1;1;1;895000.0;74.2;0.196009
1.0;1;1;1;0;495000.0;33.2;0.019963
1.0;1;1;0;0;115000.0;9.0;0.052894
3.0;2;0;1;0;650000.0;63.5;-0.011981
3.0;2;1;1;0;656000.0;59.5;0.196009
4.0;2;1;0;1;588000.0;69.0;0.052894
2.0;1;0;0;0;475000.0;26.0;-0.011981
1.0;1;0;1;0;280000.0;26.0;0.052894
3.0;1;1;1;0;780000.0;55.2;0.081818
3.0;2;0;1;0;750000.0;61.3;0.048162
4.0;2;0;1;0;1260000.0;75.0;0.081818
5.0;3;1;0;1;1249000.0;116.0;0.196009
1.0;1;1;1;1;427000.0;29.0;0.11758
3.0;1;1;1;0;750000.0;58.2;-0.011981
2.0;1;0;0;1;550000.0;55.0;0.196009
3.0;1;1;1;1;770000.0;53.1;0.196009
4.0;2;1;1;1;3150000.0;132.4;0.11758
4.0;2;1;1;1;677250.0;75.0;0.019963
4.0;2;1;1;1;799000.0;93.1;0.052894
2.0;1;1;1;0;790000.0;31.1;0.081818
3.0;2;1;1;1;1200000.0;73.0;0.081818
4.0;3;1;1;1;1600000.0;120.7;0.196009
1.0;1;1;0;1;484000.0;33.0;0.05245
3.0;2;1;1;1;820000.0;74.2;0.053731
3.0;1;0;1;0;420000.0;46.8;-0.009978
1.0;1;0;0;0;185000.0;10.1;0.181532
2.0;1;1;1;0;585000.0;61.0;-0.00142
1.0;1;1;1;1;345000.0;31.6;-0.011981
3.0;2;1;1;1;650000.0;61.0;0.020369
2.0;1;0;1;0;260000.0;27.0;-0.011981
2.0;1;0;1;0;260000.0;26.0;-0.011981
1.0;1;0;0;0;290000.0;20.0;0.081818
2.0;1;1;1;1;490000.0;61.0;0.014442
2.0;1;0;1;0;405000.0;44.0;0.019963
1.0;1;1;0;1;382500.0;28.0;0.181532
3.0;2;1;1;0;830000.0;72.0;0.053731
4.0;2;1;1;1;850000.0;87.0;0.014442
5.0;3;1;1;1;1240000.0;122.0;0.196009
4.0;2;1;1;0;745000.0;82.0;0.012957
3.0;2;1;1;0;580000.0;72.2;0.052894
3.0;2;1;1;0;478950.0;63.0;-0.009978
5.0;3;1;0;0;1557000.0;125.0;0.023671
2.0;1;0;0;0;550000.0;41.0;0.023671
3.0;1;1;1;0;750000.0;58.2;-0.011981
5.0;4;1;1;1;2290000.0;152.0;0.11758
2.0;1;0;0;0;800000.0;63.6;0.05245
4.0;3;1;0;1;998000.0;104.8;0.052894
3.0;1;1;0;0;1700000.0;124.0;0.030506
2.0;1;1;0;0;360000.0;43.0;-0.00142
5.0;3;1;1;1;1430000.0;138.0;0.012957
2.0;1;0;0;0;190000.0;23.0;-0.001544
3.0;2;0;1;1;630000.0;50.0;0.016535
1.0;1;0;0;1;79000.0;9.0;0.053731
5.0;4;1;1;0;1664000.0;169.0;0.014442
2.0;1;0;1;0;325000.0;35.0;0.014442
1.0;1;1;1;1;550000.0;44.0;0.181532
2.0;1;1;1;1;720000.0;52.0;0.019963
5.0;3;1;1;1;1790000.0;141.0;0.196009
5.0;5;1;1;1;4760000.0;331.0;0.196009
2.0;1;0;0;0;595000.0;50.0;0.181532
4.0;2;1;1;1;725000.0;78.0;0.014442
3.0;2;0;1;0;1360000.0;93.5;0.030506
4.0;2;0;1;0;1250000.0;80.0;0.11758
1.0;1;0;0;0;350000.0;37.8;-0.001544
4.0;3;1;1;0;745000.0;76.0;0.019963
1.0;1;0;0;0;295000.0;31.0;-0.00142
4.0;3;1;1;0;963000.0;90.0;0.052894
2.0;1;0;0;0;550000.0;34.0;0.181532
6.0;4;0;1;0;3250000.0;192.0;0.11758
5.0;3;1;1;0;998000.0;89.0;-0.011981
4.0;3;0;1;0;875000.0;83.0;0.019963
2.0;1;0;0;0;370000.0;36.0;0.053731
3.0;1;1;0;0;520000.0;66.0;0.014442
2.0;1;1;1;0;507000.0;34.9;0.196009
3.0;2;1;1;1;840000.0;76.0;0.196009
3.0;2;0;1;0;1000000.0;79.0;0.196009
2.0;1;0;1;0;395000.0;29.0;-0.011981
6.0;4;1;1;0;1730000.0;183.0;0.196009
1.0;1;0;0;1;170000.0;19.7;0.020369
6.0;4;1;1;0;1460000.0;131.0;0.196009
2.0;1;0;1;0;848000.0;65.9;0.05245
4.0;3;1;0;0;689900.0;123.0;-0.001544
1.0;1;0;1;0;199000.0;19.7;0.053731
4.0;3;1;1;1;749000.0;103.0;-0.001544
4.0;2;1;1;0;805000.0;71.0;0.053731
2.0;1;0;1;0;600000.0;45.1;0.020369
2.0;1;1;1;0;495000.0;50.2;0.053731
2.0;1;0;1;0;656250.0;50.0;0.081818
2.0;1;0;1;1;450000.0;39.5;0.11758
1.0;1;1;1;0;450000.0;44.0;0.196009
2.0;1;1;1;0;430000.0;40.0;0.196009
3.0;1;0;1;1;890000.0;85.0;0.053731
4.0;3;1;1;0;399000.0;66.0;-0.00142
3.0;2;1;1;0;530000.0;38.0;0.05245
3.0;2;0;1;0;850000.0;65.6;0.181532
1.0;1;1;0;0;295000.0;25.8;0.196009
1.0;1;1;0;0;199000.0;18.0;0.020369
2.0;1;1;1;0;737000.0;57.0;0.05245
1.0;1;0;0;0;115000.0;8.4;0.016535
2.0;1;0;1;1;700000.0;63.3;0.181532
3.0;2;0;1;0;840000.0;62.0;0.030025
7.0;4;1;1;1;1950000.0;193.0;0.196009
2.0;1;0;0;0;498000.0;59.5;0.019963
1.0;1;0;0;0;150000.0;15.5;0.019963
1.0;1;0;0;0;290000.0;22.0;-0.011981
1.0;1;1;0;1;110000.0;9.0;0.053731
3.0;2;0;0;0;1890000.0;283.7;-0.009978
2.0;1;1;0;0;565900.0;50.0;0.196009
5.0;3;0;1;1;2288000.0;167.0;0.053731
3.0;2;1;0;1;550000.0;67.1;0.052894
1.0;1;0;1;0;225000.0;19.0;0.019963
3.0;1;0;1;0;845000.0;70.0;0.11758
4.0;3;1;1;0;670000.0;83.3;0.052894
4.0;3;0;0;0;882000.0;70.0;0.016535
6.0;5;0;0;0;1600000.0;88.9;0.081818
2.0;1;1;0;0;517000.0;31.1;0.030025
7.0;5;1;1;0;1395000.0;129.0;0.019963
2.0;1;0;0;0;635000.0;37.0;0.11758
4.0;3;1;1;1;1790000.0;108.0;0.081818
1.0;1;0;0;0;130000.0;26.2;0.05245
1.0;1;1;0;1;120000.0;10.0;0.11758
1.0;1;0;0;0;262500.0;13.7;0.11758
2.0;1;1;0;1;447200.0;24.0;0.081818
3.0;2;1;1;1;745620.0;86.5;0.052894
4.0;3;1;1;1;595000.0;81.0;-0.00142
5.0;3;1;1;1;649000.0;101.0;-0.001544
2.0;1;0;0;0;239000.0;27.0;-0.00142
