Nombre de pieces;Nombre de chambres;Superficie salon (m²);Balcon;Ascenseur;Parking;Cave;Accessible_mobilité_réduite;Interphone;Alarme;Digicode;Gardien;Cuisine ouverte;Sans vis à vis;Calme;Exposition;DPE;GES;prix;superficie;arrondissement;charges_annuelles;Etage;Total_etages
3.0;2;-1.0;0;1;0;1;0;1;0;1;0;1;1;1;3.0;4.0;5.0;500000;80.0;75018;3500;0.0;8.0
2.0;1;-1.0;0;1;0;1;0;1;0;1;0;0;0;0;5.0;5.0;3.0;329000;27.0;75005;650;0.0;5.0
2.0;1;-1.0;0;0;0;0;0;0;0;0;0;0;0;1;-1.0;5.0;3.0;220000;26.0;75017;1200;1.0;5.0
1.0;1;33.0;0;1;0;1;0;0;0;0;1;1;0;1;3.0;5.0;2.0;410000;33.0;75002;0;0.0;5.0
6.0;4;35.0;1;1;0;1;0;1;0;1;0;1;1;1;3.0;4.0;2.0;1125000;100.0;75012;0;4.0;6.0
2.0;1;19.0;0;1;0;1;0;0;0;0;1;0;0;1;3.0;5.0;5.0;510000;53.0;75019;2901;0.0;7.0
2.0;1;21.0;0;1;0;0;0;1;0;0;0;0;0;1;5.0;3.0;4.0;600000;40.0;75006;1200;1.0;5.0
1.0;1;23.0;0;0;0;0;0;1;0;0;0;1;0;1;5.0;4.0;1.0;178000;23.0;75018;790;0.0;5.0
3.0;2;-1.0;0;0;0;1;0;0;0;1;0;1;0;1;-1.0;5.0;2.0;760000;67.0;75010;0;0.0;2.0
1.0;1;28.4;0;1;0;0;0;0;0;0;0;0;0;1;-1.0;5.0;3.0;315000;28.4;75005;912;6.0;6.0
1.0;1;29.2;0;1;0;0;0;1;0;1;1;0;0;1;5.0;4.0;5.0;262400;29.2;75020;1310;0.0;5.0
3.0;2;20.0;0;1;0;0;0;1;0;1;0;0;1;1;5.0;5.0;5.0;380000;60.0;75018;2904;0.0;9.0
3.0;2;-1.0;0;0;0;1;0;0;0;0;0;1;0;0;1.0;5.0;2.0;300000;40.0;75018;960;0.0;1.0
3.0;2;-1.0;0;0;0;1;0;0;0;0;0;1;0;0;3.0;5.0;2.0;430000;43.0;75014;1680;0.0;6.0
3.0;2;-1.0;0;0;0;0;0;0;0;0;0;1;0;1;-1.0;5.0;2.0;555000;56.0;75010;1140;0.0;2.0
2.0;1;-1.0;0;0;0;1;0;0;0;0;1;0;0;0;-1.0;6.0;6.0;370000;34.0;75116;2760;-1.0;-1.0
4.0;3;-1.0;1;1;1;1;0;0;0;0;0;1;0;0;3.0;4.0;2.0;575000;87.0;75020;0;0.0;5.0
3.0;2;-1.0;0;0;0;0;0;0;0;0;0;1;0;0;-1.0;5.0;2.0;659000;68.0;75017;2532;0.0;4.0
3.0;2;-1.0;0;0;0;1;0;0;0;1;0;0;1;1;-1.0;6.0;6.0;549000;70.1;75019;2000;0.0;3.0
2.0;1;-1.0;0;1;0;1;0;0;0;0;0;0;0;0;3.0;6.0;6.0;375000;43.0;75015;2712;0.0;6.0
3.0;2;-1.0;0;0;0;1;0;0;0;0;0;0;0;0;3.0;5.0;5.0;630000;65.0;75009;1392;0.0;6.0
3.0;2;-1.0;0;1;0;1;0;0;0;0;0;1;0;0;3.0;4.0;4.0;570000;50.0;75018;2412;0.0;6.0
3.0;2;30.0;0;1;0;1;0;1;0;0;0;0;1;1;3.0;5.0;5.0;799000;80.0;75017;1569;0.0;6.0
4.0;2;-1.0;0;1;0;1;0;1;0;1;0;0;0;0;3.0;6.0;6.0;775000;55.1;75016;2580;6.0;6.0
1.0;1;20.0;0;1;0;0;0;1;0;1;1;0;0;0;3.0;4.0;3.0;375000;34.7;75016;2700;3.0;8.0
2.0;1;19.7;0;1;0;0;0;0;0;1;1;0;0;1;3.0;5.0;5.0;525000;58.0;75017;3600;6.0;6.0
3.0;2;14.5;0;0;0;1;0;0;0;1;0;0;1;0;-1.0;5.0;2.0;475000;53.0;75010;0;1.0;6.0
3.0;2;20.0;0;0;0;0;0;0;0;1;0;1;1;0;3.0;5.0;3.0;500000;58.5;75018;0;4.0;5.0
3.0;1;-1.0;0;1;0;1;0;1;0;1;0;0;1;1;-1.0;5.0;2.0;448000;56.0;75015;2592;3.0;6.0
4.0;3;-1.0;1;1;0;1;0;1;0;1;0;0;1;1;3.0;3.0;3.0;1099500;120.0;75015;6300;8.0;10.0
1.0;1;36.3;0;1;0;1;0;1;0;1;1;0;0;0;1.0;4.0;4.0;520000;36.3;75008;1800;8.0;8.0
4.0;3;22.2;0;1;0;0;0;0;0;1;0;0;0;1;1.0;5.0;4.0;650000;76.4;75020;0;7.0;10.0
