Nombre de pieces;Nombre de chambres;Superficie salon (m);Balcon;Ascenseur;Parking;Cave;Accessible_mobilit_rduite;Interphone;Alarme;Digicode;Gardien;Cuisine ouverte;Sans vis  vis;Calme;Exposition;DPE;GES;prix;superficie;arrondissement;charges_annuelles;Etage;Total_etages
3.0;2;-1.0;1;1;1;1;0;0;1;1;0;0;0;0;-1.0;4.0;4.0;329900.0;67.0;94210;1922;4.0;4.0
3.0;2;20.0;0;1;1;0;0;0;0;1;0;0;0;1;-1.0;4.0;4.0;290000.0;66.0;94430;2080;0.0;3.0
4.0;2;-1.0;1;0;1;0;0;1;0;0;1;0;0;0;-1.0;5.0;5.0;192000.0;76.0;94420;3052;0.0;4.0
3.0;2;18.0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;429000.0;60.0;94700;0;0.0;-1.0
4.0;3;-1.0;1;1;0;1;0;1;1;1;1;0;0;1;-1.0;4.0;4.0;439000.0;73.0;94120;4400;5.0;-1.0
6.0;5;-1.0;1;1;1;1;0;0;0;0;0;0;0;0;-1.0;4.0;4.0;490000.0;128.4;94210;5738;0.0;-1.0
4.0;2;-1.0;0;0;0;1;0;0;0;0;0;0;0;0;-1.0;5.0;5.0;390000.0;89.0;94210;4990;-1.0;-1.0
2.0;1;-1.0;0;1;1;0;0;0;0;0;0;0;0;0;-1.0;2.0;1.0;194000.0;41.6;94370;1680;3.0;-1.0
3.0;2;-1.0;0;0;0;0;0;0;0;0;0;0;0;1;5.0;-1.0;-1.0;595000.0;79.0;94700;0;-1.0;-1.0
3.0;2;30.0;0;0;0;1;0;1;0;1;0;0;0;0;-1.0;5.0;5.0;329000.0;52.0;94120;2200;4.0;5.0
1.0;1;44.5;0;1;1;1;0;0;0;0;0;0;0;0;-1.0;4.0;4.0;330000.0;44.5;94210;0;-1.0;-1.0
4.0;3;-1.0;1;1;1;1;0;0;0;0;0;0;0;0;-1.0;3.0;3.0;900000.0;118.0;94210;4836;-1.0;-1.0
3.0;2;17.0;0;0;1;0;0;1;0;1;0;0;0;1;-1.0;3.0;3.0;283000.0;62.0;94000;0;-1.0;-1.0
1.0;1;13.3;0;0;0;1;0;0;0;0;0;0;0;1;-1.0;4.0;2.0;85000.0;13.3;94120;1116;0.0;2.0
1.0;1;29.0;0;0;0;1;0;0;0;0;0;0;0;0;-1.0;6.0;6.0;149000.0;29.0;94100;1732;3.0;4.0
3.0;2;-1.0;1;1;1;1;0;0;0;0;0;0;0;1;-1.0;3.0;1.0;469000.0;82.0;94210;2683;-1.0;-1.0
3.0;2;-1.0;0;1;0;1;0;0;0;0;0;0;0;0;-1.0;4.0;4.0;329000.0;66.6;94100;3880;-1.0;-1.0
5.0;4;-1.0;0;1;1;1;0;1;0;1;0;1;0;0;3.0;1.0;1.0;1031000.0;124.8;94210;236;4.0;4.0
3.0;2;-1.0;1;0;1;1;0;0;0;0;0;0;0;0;-1.0;5.0;4.0;273000.0;58.0;94360;1120;0.0;-1.0
1.0;1;31.0;0;0;0;1;0;0;0;0;0;0;0;0;3.0;4.0;3.0;185000.0;31.0;94000;0;-1.0;-1.0
2.0;1;-1.0;0;0;0;1;0;0;0;0;0;0;0;0;-1.0;4.0;3.0;279000.0;39.3;94700;1080;0.0;2.0
3.0;2;-1.0;0;0;0;1;0;0;0;0;0;0;0;0;3.0;4.0;4.0;235000.0;62.0;94000;0;-1.0;-1.0
6.0;4;-1.0;0;1;0;1;0;1;0;1;0;0;0;0;3.0;4.0;2.0;700000.0;120.0;94170;0;2.0;4.0
3.0;2;22.2;0;0;1;0;0;0;0;0;0;1;0;0;-1.0;5.0;2.0;210000.0;56.1;94800;0;1.0;3.0
2.0;1;17.0;0;0;0;1;0;0;0;0;0;0;0;0;-1.0;5.0;2.0;179000.0;41.4;94600;3000;4.0;5.0
4.0;3;26.0;1;1;1;0;0;1;0;1;0;0;0;0;5.0;4.0;1.0;480000.0;81.0;94130;3000;2.0;4.0
5.0;4;-1.0;1;0;1;1;0;1;0;1;0;0;0;0;-1.0;3.0;3.0;599000.0;143.0;94210;1296;2.0;2.0
2.0;1;-1.0;0;0;1;0;0;1;0;1;0;0;0;1;-1.0;4.0;2.0;275000.0;65.0;94320;1800;2.0;3.0
5.0;3;40.0;1;1;0;1;0;0;0;0;0;1;0;0;5.0;4.0;2.0;840000.0;99.0;94210;6033;5.0;5.0
5.0;4;22.0;0;1;0;1;0;1;0;1;0;0;0;0;-1.0;3.0;1.0;995000.0;115.1;94220;4800;4.0;6.0
5.0;3;43.0;0;1;0;1;0;0;0;0;1;0;0;0;3.0;5.0;5.0;620000.0;100.1;94210;0;2.0;3.0
2.0;1;12.0;0;0;0;1;0;1;0;0;0;0;0;1;-1.0;4.0;1.0;195000.0;31.0;94170;1098;1.0;-1.0
4.0;3;21.0;1;1;1;0;0;1;1;1;0;0;0;1;3.0;3.0;1.0;459500.0;80.0;94140;1350;3.0;6.0
5.0;3;27.0;0;0;1;1;0;1;0;1;0;0;0;1;-1.0;4.0;2.0;749000.0;138.0;94130;2400;3.0;3.0
1.0;1;14.0;1;1;0;1;0;1;0;1;0;0;0;0;5.0;4.0;4.0;169000.0;23.0;94140;1400;4.0;4.0
3.0;2;17.0;1;0;0;1;0;1;0;1;1;0;0;1;3.0;4.0;4.0;248000.0;60.0;94240;2796;1.0;3.0
2.0;1;-1.0;1;1;1;1;0;0;0;1;0;0;0;0;3.0;4.0;1.0;218400.0;51.0;94240;0;3.0;4.0
3.0;2;20.0;1;1;0;1;0;0;0;0;0;0;0;0;5.0;4.0;4.0;420000.0;76.2;94210;3071;2.0;4.0
