Prix;Arrondissement;Nombre de pieces;Nombre de chambres;Superficie;Superficie salon (m²);Etage;Nombre d'etages;Balcon;Ascenseur;Parking;Cave;Accessible_mobilité_réduite;Interphone;Alarme;Digicode;Gardien;Cuisine ouverte;Sans vis à vis;Calme;Charge annuelles;Exposition;DPE;GES
198 000 €;Épinay-sur-Seine (93800);3.0;2;73 m²;;RDC/10;;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;3 600 €/an;;E;E
599 000 €;Paris 19ème (75019);3.0;2;64,3 m²;;5;8.0;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;3 000 €/an;;C;C
269 000 €;Romainville (93230);2.0;1;43 m²;;RDC/4;;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;1 087,32 €/an;;C;C
209 000 €;Rosny-sous-Bois (93110);2.0;1;54 m²;;;;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Oui;Non;Non;Oui;3 612 €/an;;E;E
350 000 €;Saint-Mandé (94160);1.0;1;36 m²;18.0;RDC/6;;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;1 560 €/an;;E;B
479 000 €;Le Perreux-sur-Marne (94170);3.0;1;82,2 m²;;1;2.0;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;;Sud;D;D
510 000 €;Nogent-sur-Marne (94130);4.0;2;73 m²;25.0;1;4.0;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;2 568 €/an;Sud-ouest;D;B
470 000 €;Paris 8ème (75008);1.0;1;31 m²;;1;6.0;Non;Oui;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Oui;3 200 €/an;;D;D
629 000 €;Saint Maur des Fosses (94210);3.0;1;89 m²;34.0;1;3.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;6 384 €/an;Est;D;D
477 000 €;Créteil (94000);4.0;3;83 m²;;4;4.0;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;3 400 €/an;Sud-ouest;C;C
950 000 €;Vincennes (94300);4.0;3;110 m²;;2;8.0;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;4 680 €/an;;D;D
310 000 €;Nogent sur Marne (94130);3.0;2;66 m²;;1;5.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;2 416 €/an;;D;D
199 000 €;Chennevieres sur Marne (94430);3.0;2;72 m²;20.0;4;5.0;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;4 500 €/an;;D;D
298 000 €;Creteil (94000);4.0;3;80 m²;;1;4.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;;Sud-ouest;D;C
225 000 €;Villeneuve-Saint-Georges (94190);4.0;3;119 m²;;4;4.0;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;2 680 €/an;Sud;;
280 000 €;Villejuif (94800);2.0;1;58 m²;25.0;8;10.0;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Non;Oui;3 421 €/an;;E;E
540 000 €;Vincennes (94300);3.0;2;49 m²;;1;4.0;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;;;E;B
682 500 €;Vincennes (94300);4.0;3;80 m²;;3;3.0;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;3 782 €/an;Sud;G;C
1 285 000 €;St Mande (94160);4.0;3;98 m²;31.0;4;6.0;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;;Sud;;
700 000 €;St Mande (94160);4.0;2;72 m²;39.0;3;4.0;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;3 600 €/an;Sud-ouest;;
229 000 €;Ivry sur Seine (94200);2.0;1;47 m²;16.0;3;7.0;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;3 200 €/an;;F;F
190 000 €;Créteil (94000);2.0;1;50 m²;;2;4.0;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;2 160 €/an;;C;C
280 000 €;Créteil (94000);3.0;2;72,6 m²;;4;4.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;3 600 €/an;Nord-ouest;C;A
285 000 €;Creteil (94000);4.0;3;75,4 m²;;4;4.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;;Sud;C;C
190 000 €;Villeneuve-Saint-Georges (94190);3.0;2;;20.0;4;4.0;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;1 925 €/an;Sud;;
325 500 €;Ivry sur Seine (94200);3.0;2;65 m²;28.0;1;7.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;1 200 €/an;;C;C
159 000 €;Creteil (94000);1.0;1;28 m²;21.5;4;4.0;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Non;2 068 €/an;Sud;G;G
320 000 €;Creteil (94000);4.0;2;70 m²;26.2;3;4.0;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;2 356 €/an;Sud-est;D;B
220 000 €;Creteil (94000);2.0;1;56 m²;21.0;2;4.0;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;3 163 €/an;Sud-ouest;D;D
175 000 €;Ablon sur Seine (94480);4.0;3;67 m²;16.0;3;4.0;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;2 781 €/an;;E;E
299 000 €;Creteil (94000);4.0;3;86 m²;31.0;4;6.0;Oui;Oui;Oui;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;3 440 €/an;Sud-est;C;B
308 000 €;Ivry-sur-Seine (94200);3.0;2;53 m²;;2ème;;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;;E;B
196 000 €;Chennevieres sur Marne (94430);3.0;2;62 m²;;2;4.0;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Non;Oui;4 196 €/an;;E;E
250 000 €;Champigny sur Marne (94500);4.0;3;77 m²;;2;4.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;3 192 €/an;;B;A
215 000 €;Ivry sur Seine (94200);2.0;1;39 m²;25.0;1;2.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;1 080 €/an;;E;B
690 000 €;Nogent sur Marne (94130);4.0;3;88 m²;;RDC/6;;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;3 204 €/an;;C;C
235 000 €;Charenton-le-Pont (94220);2.0;1;43 m²;;6;21.0;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;3 600 €/an;Nord-est;D;B
260 000 €;Créteil (94000);3.0;2;64 m²;;RDC/3;;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;2 400 €/an;Sud-ouest;D;C
475 000 €;Paris 16ème (75016);2.0;1;37,9 m²;12.6;6;8.0;Non;Oui;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;1 760 €/an;Sud;E;E
199 500 €;Le Perreux-sur-Marne (94170);2.0;1;32 m²;18.0;RDC/1;;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;65 €/an;Ouest;D;B
378 000 €;Ivry sur Seine (94200);5.0;3;91 m²;28.0;;;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;2 700 €/an;;C;A
730 000 €;Nogent sur Marne (94130);5.0;3;95 m²;;;;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;2 600 €/an;;E;B
164 900 €;Le Plessis Trevise (94420);2.0;1;45 m²;;3;4.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;1 950 €/an;;D;E
860 000 €;Paris 15ème (75015);4.0;3;90 m²;21.8;5;7.0;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;3 420 €/an;Sud-ouest;C;A
779 000 €;Paris 18ème (75018);3.0;2;61,3 m²;17.1;2;3.0;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;1 480 €/an;Nord;D;B
215 000 €;Draveil (91210);2.0;1;47 m²;30.0;1;2.0;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;Oui;Non;Oui;1 416 €/an;;C;C
310 900 €;Paris 14ème (75014);1.0;1;26 m²;18.0;2;6.0;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Oui;;Nord-est;E;B
840 000 €;Paris 18ème (75018);3.0;2;87 m²;;1;7.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;2 600 €/an;Nord;D;D
295 000 €;Paris 18ème (75018);2.0;1;33 m²;;2ème;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;1 540 €/an;;C;A
130 000 €;Évry-Courcouronnes (91000);2.0;1;40,8 m²;;1;4.0;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;1 212,87 €/an;;E;B
159 000 €;Épinay-sous-Sénart (91860);5.0;4;88 m²;;;;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;3 300 €/an;;D;C
495 000 €;Cachan (94230);4.0;3;70 m²;17.0;2;2.0;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Oui;;Sud;C;C
259 000 €;Thiais (94320);3.0;2;66 m²;29.0;3;3.0;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;1 587 €/an;;;
309 000 €;Thiais (94320);4.0;3;74 m²;21.0;2;3.0;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Oui;2 035 €/an;Sud-ouest;C;A
625 000 €;Fontenay sous Bois (94120);4.0;3;81 m²;;1;5.0;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;3 600 €/an;;C;B
660 000 €;Gentilly (94250);4.0;3;83 m²;;7;7.0;Non;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;3 136 €/an;;C;A
262 000 €;Arcueil (94110);3.0;2;50 m²;14.0;2;2.0;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;1 470 €/an;Sud-ouest;E;E
650 000 €;Fontenay sous Bois (94120);5.0;3;152 m²;;1;2.0;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;1 600 €/an;;C;A
209 000 €;Thiais (94320);4.0;2;62 m²;;3;4.0;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;2 921 €/an;;E;E
515 000 €;Paris 20ème (75020);3.0;2;53 m²;;4;9.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;3 084 €/an;Nord-est;C;C
199 000 €;Thiais (94320);3.0;2;52 m²;16.0;4;4.0;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;1 598 €/an;;D;D
605 000 €;Bry sur Marne (94360);4.0;3;101 m²;34.0;1;3.0;Oui;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;4 600 €/an;;D;D
650 000 €;Saint-Maur-des-Fossés (94100);4.0;2;82,4 m²;31.0;3;4.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;1 760 €/an;Sud-est;C;C
